0	0.00
1	0.00
2	0.00
3	0.00
4	0.00
5	0.00
6	0.00
7	0.00
8	0.00
9	0.00
10	0.00
11	0.00
12	0.14
13	0.29
14	0.71
15	1.00
16	1.33
17	1.67
18	1.90
19	2.18
20	2.73
21	3.27
22	3.42
23	3.92
24	4.50
25	5.25
26	5.54
27	6.31
28	6.57
29	6.87
30	7.67
31	8.53
32	9.47
33	10.33
34	11.27
35	12.20
36	13.20
37	14.20
38	15.20
39	16.20
40	17.20
41	18.20
42	19.13
43	20.07
44	21.07
45	22.00
46	23.00
47	23.93
48	24.93
49	24.25
50	25.19
51	7.50
52	8.30
53	8.27
54	8.25
55	9.00
56	9.83
57	10.67
58	11.67
59	12.67
60	22.15
61	21.07
62	20.27
63	20.80
64	21.47
65	22.20
66	23.13
67	12.40
68	12.90
69	12.18
70	12.73
71	13.45
72	13.08
73	13.92
74	14.75
75	15.58
76	16.42
77	15.85
78	16.54
79	15.00
80	14.69
81	15.50
82	16.31
83	17.19
84	18.00
85	18.88
86	19.75
87	20.62
88	4.89
89	5.33
90	6.00
91	5.55
92	5.67
93	6.25
94	7.00
95	7.58
96	7.62
97	8.15
98	8.69
99	9.31
100	9.29
101	9.40
102	13.08
103	12.50
104	13.00
105	13.57
106	13.20
107	13.93
108	14.60
109	15.27
110	16.00
111	16.80
112	17.67
113	18.60
114	19.60
115	20.60
116	9.20
117	9.73
118	9.69
119	10.31
120	10.35
121	11.18
122	12.12
123	13.12
124	14.12
125	15.12
126	16.12
127	17.12
128	18.12
129	19.12
130	16.90
131	14.42
132	14.83
133	15.42
134	14.85
135	14.36
136	15.07
137	23.67
138	24.27
139	24.87
140	25.53
141	26.20
142	27.00
143	26.06
144	19.08
145	19.77
146	20.46
147	19.71
148	20.50
149	21.29
150	22.07
151	27.57
152	26.40
153	27.20
154	28.13
155	29.13
156	30.13
157	31.13
158	23.93
159	24.50
160	23.47
161	24.13
162	24.93
163	25.87
164	26.73
165	25.60
166	26.07
167	26.80
168	27.53
169	28.40
170	29.20
171	30.00
172	29.25
173	29.67
174	30.17
175	30.83
176	31.58
177	32.50
178	33.42
179	32.36
180	33.21
181	34.07
182	35.00
183	35.86
184	36.64
185	37.50
186	36.00
187	32.50
188	29.73
189	29.91
190	27.83
191	28.33
192	24.64
193	43.67
194	44.17
195	44.83
196	45.50
197	46.17
198	43.23
199	43.92
200	44.62
201	45.38
202	46.08
203	46.85
204	47.69
205	48.54
206	49.46
207	50.38
208	51.31
209	52.31
210	53.31
211	54.23
212	55.15
213	56.00
214	1.36
215	1.91
216	2.55
217	3.36
218	4.27
219	4.75
220	5.58
221	51.80
222	52.10
223	52.40
224	52.70
225	48.18
226	48.55
227	49.09
228	45.50
229	46.08
230	43.23
231	43.85
232	44.54
233	45.23
234	46.00
235	46.77
236	47.54
237	48.31
238	49.08
239	49.85
240	50.62
241	51.38
242	0.38
243	0.62
244	0.88
245	1.10
246	1.60
247	2.00
248	2.55
249	2.92
250	3.31
251	3.64
252	4.21
253	4.93
254	5.86
255	6.71
256	21.33
257	21.67
258	22.08
259	20.92
260	21.54
261	20.71
262	21.50
263	19.50
264	20.19
265	20.94
266	21.69
267	22.56
268	23.50
269	24.38
270	25.31
271	26.19
272	27.12
273	27.94
274	28.75
275	29.50
276	30.25
277	7.90
278	7.08
279	7.00
280	7.62
281	8.23
282	8.92
283	8.86
284	23.64
285	22.67
286	23.20
287	23.87
288	24.73
289	25.60
290	26.47
291	27.33
292	28.20
293	29.00
294	29.87
295	28.75
296	29.69
297	30.50
298	31.38
299	32.25
300	33.12
301	34.06
302	35.00
303	35.94
304	36.88
305	21.22
306	21.44
307	21.67
308	22.00
309	20.20
310	20.70
311	21.30
312	39.13
313	39.80
